Taxa,Amylose,Cal.g,Fat,IVSD,Prolamin,Protein,Starch
PI152651,-0.153854924,-38.66981243,-0.002344321,1.250499577,-0.26649509,-0.824984178,1.915682328
PI17548,0.786723853,73.09519994,0.717994292,-2.979574333,0.13362065,-0.30748135,-2.365519951
PI24969,-0.99264111,-56.85255712,-0.215062107,1.695071758,-0.426832553,-0.868898273,2.490460443
PI329435,-0.449012705,5.506994547,-0.05485061,1.460660971,0.282265524,1.138603213,-1.095568211
PI329440,0.277407784,-0.276902627,-0.003690636,0.790915868,-0.125352957,-0.139924296,1.155534938
PI34911,-0.531308708,-65.67685721,-0.535485101,-0.781830392,-0.27778646,-1.390848659,3.090576803
PI35038,0.330425402,57.34229848,0.606190106,-2.807231963,-0.040667677,-0.585338688,-2.143771455
PI48770,-1.20859791,-10.63545672,0.004858745,3.124217925,0.107790266,0.791074926,-1.013395668
PI533750,0.80362742,63.07380001,0.39616495,-0.784139858,0.451636084,1.525047249,-1.635672936
PI533752,-0.070767614,24.72891955,0.015157776,-2.540488655,0.204355067,0.371988583,-1.622337017
PI533754,0.752983726,103.0720542,0.856604714,-0.263355303,0.492285018,1.799824015,-3.215979353
PI533755,-0.116663462,-2.353807827,-0.107356898,3.073822884,0.133219431,1.090925053,-1.863717153
PI533757,0.260790322,-34.40684443,-0.513944059,-1.963122186,0.160318721,-0.308052545,-0.815513909
PI533758,-0.036741382,-42.51215982,-0.577220869,-1.401921979,0.050792426,-0.269157204,-1.738359513
PI533759,1.222162152,-28.28023092,-0.188407004,-1.735245409,-0.176356769,-1.25423768,2.151156887
PI533760,-0.080141804,-16.2432601,-0.034331698,1.318734504,-0.114238463,-0.193610217,0.762998698
PI533761,-0.872362337,-16.50936493,-0.087162172,0.140801225,-0.256332856,-0.619215276,0.919489169
PI533762,0.100946162,-27.7671517,-0.513944059,2.393685184,0.022563999,0.644255972,-0.966209796
PI533766,0.522414609,-11.34155289,0.084401593,-0.347740627,-0.011331875,-0.388615527,1.127165642
PI533769,-0.843875259,22.55886654,0.195563999,-0.451576772,0.29920258,0.663076299,-0.862189626
PI533776,0.288668671,-19.83351487,-0.165999728,0.426376629,-0.055992562,-0.098549909,1.272226152
PI533785,0.552782872,18.2478692,0.113438778,0.505696833,-0.102770215,0.304235408,0.20201672
PI533788,0.225972782,-6.193244351,-0.290455752,1.577288998,-0.015826661,0.402101105,-2.297134525
PI533789,1.054301948,-9.994291753,-0.122951796,-0.831152399,-0.342970854,-0.769277498,0.578334894
PI533792,0.459583984,-21.50027337,-0.44193107,-0.540122996,-0.137181953,-0.146015389,1.13392339
PI533794,-0.768701025,-29.24005153,-0.450667249,-1.455039694,0.14902735,0.144889978,1.15020057
PI533799,0.873262499,23.18179255,-0.173326338,-1.541644664,0.377113038,1.201337634,-0.442108174
PI533800,0.774349034,13.45075669,-0.111395844,-1.262199294,0.210000752,0.679387248,-1.528985583
PI533807,-0.209246465,-41.94890662,-0.040041143,1.116550556,-0.446027883,-1.523845633,1.348905765
PI533810,-1.278303198,-7.398344215,0.00573357,1.124633687,-0.315047984,-0.56777305,1.467595445
PI533814,-0.705396407,-16.10912041,-0.301226273,-1.453884961,0.152414762,-0.032021091,1.008839827
