"SbID","SobicID","GeneID"
"Sb01g000380","Sobic.001G003100","Sobic.001G003100"
"Sb01g003070","Sobic.001G032800","Sobic.001G032800"
"Sb01g003220","Sobic.001G034400","Sobic.001G034400"
"Sb01g005860","Sobic.001G064500","Sobic.001G064500"
"Sb01g007980","Sobic.001G088500","Sobic.001G088500"
"Sb01g010460","Sobic.001G118600","Sobic.001G118600"
"Sb01g010650","Sobic.001G120500","Sobic.001G120500"
"Sb01g011310","Sobic.001G129000","Sobic.001G129000"
"Sb01g012000","Sobic.001G137400","Sobic.001G137400"
"Sb01g012010","Sobic.001G137500","Sobic.001G137500"
"Sb01g012020","Sobic.001G137600","Sobic.001G137600"
"Sb01g012040","Sobic.001G137800","Sobic.001G137800"
"Sb01g013010","Sobic.001G149600","Sobic.001G149600"
"Sb01g013390","Sobic.001G154100","Sobic.001G154100"
"Sb01g013840","Sobic.001G158700","Sobic.001G158700"
"Sb01g017050","Sobic.001G193500","Sobic.001G193500"
"Sb01g020010","Sobic.001G228200","Sobic.001G228200"
"Sb07g015140","Sobic.007G108100","Sobic.007G108100"
"Sb01g034910.1","Sobic.001G366300","Sobic.001G366300"
"Sb01g035320","Sobic.001G371400","Sobic.001G371400"
"Sb01g039390","Sobic.001G418600","Sobic.001G418600"
"Sb01g039430","Sobic.001G419000","Sobic.001G419000"
"Sb09g022580","Sobic.009G163900","Sobic.009G163900"
"Sb01g039510","Sobic.001G419900","Sobic.001G419900"
"Sb01g039460","Sobic.001G419300","Sobic.001G419300"
"Sb01g039470","Sobic.001G419400","Sobic.001G419400"
"Sb01g039480","Sobic.001G419500","Sobic.001G419500"
"Sb01g039510","Sobic.001G419900","Sobic.001G419900"
"Sb01g039510","Sobic.001G419900","Sobic.001G419900"
"Sb01g039530","Sobic.001G420100","Sobic.001G420100"
"Sb01g039780","Sobic.001G423100","Sobic.001G423100"
"Sb01g040250","Sobic.001G428400","Sobic.001G428400"
"Sb01g041170.1","Sobic.001G437801","Sobic.001G437801"
"Sb01g042488.1","Sobic.001G452000","Sobic.001G452000"
"Sb01g042680","Sobic.001G454000","Sobic.001G454000"
"Sb01g043220","Sobic.001G460500","Sobic.001G460500"
"Sb01g047360.1","Sobic.001G507500","Sobic.001G507500"
"Sb01g048540","Sobic.001G520500","Sobic.001G520500"
"Sb01g049120","Sobic.001G527900","Sobic.001G527900"
"Sb02g000910","Sobic.002G008000","Sobic.002G008000"
"Sb02g001450","Sobic.002G014400","Sobic.002G014400"
"Sb02g004430","Sobic.002G052700","Sobic.002G052700"
"Sb02g006000","Sobic.002G071400","Sobic.002G071400"
"Sb02g011260","Sobic.002G131000","Sobic.002G131000"
"Sb02g014480","Sobic.002G145400","Sobic.002G145400"
"Sb02g019570","Sobic.002G156900","Sobic.002G156900"
"Sb02g019711","Sobic.002G157400","Sobic.002G157400"
"Sb02g020030","Sobic.002G158300","Sobic.002G158300"
"Sb02g020380","Sobic.002G160100","Sobic.002G160100"
"Sb02g028570","Sobic.002G249800","Sobic.002G249800"
"Sb02g029650","Sobic.002G261700","Sobic.002G261700"
"Sb02g032430","Sobic.002G293300","Sobic.002G293300"
"Sb02g034740","Sobic.002G318800","Sobic.002G318800"
"Sb02g037530","Sobic.002G353500","Sobic.002G353500"
"Sb02g040010","Sobic.002G383800","Sobic.002G383800"
"Sb03g001720","Sobic.003G017500","Sobic.003G017500"
"Sb03g006570","Sobic.003G077800","Sobic.003G077800"
"Sb03g007020","Sobic.003G083400","Sobic.003G083400"
"Sb03g013640","Sobic.003G156500","Sobic.003G156500"
"Sb03g027890","Sobic.003G220500","Sobic.003G220500"
"Sb03g028430","Sobic.003G226500","Sobic.003G226500"
"Sb03g035020","Sobic.003G301000","Sobic.003G301000"
"Sb03g039360","Sobic.003G350700","Sobic.003G350700"
"Sb03g041830","Sobic.003G378700","Sobic.003G378700"
"Sb03g044450","Sobic.003G409900","Sobic.003G409900"
"Sb04g000240","Sobic.004G000500","Sobic.004G000500"
"Sb04g000370","Sobic.004G002200","Sobic.004G002200"
"Sb04g001140","Sobic.004G011700","Sobic.004G011700"
"Sb04g002840","Sobic.004G032900","Sobic.004G032900"
"Sb04g003150","Sobic.004G036600","Sobic.004G036600"
"Sb04g007200.1","Sobic.004G087000","Sobic.004G087000"
"Sb04g011020","Sobic.004G127800","Sobic.004G127800"
"Sb04g019730","Sobic.004G148600","Sobic.004G148600"
"Sb04g019750","Sobic.004G148900","Sobic.004G148900"
"Sb04g019783","Sobic.004G149400","Sobic.004G149400"
"Sb04g021850.1","Sobic.004G167100","Sobic.004G167100"
"Sb04g022570","Sobic.004G175600","Sobic.004G175600"
"Sb04g025740","Sobic.004G212100","Sobic.004G212100"
"Sb04g027330","Sobic.004G228900","Sobic.004G228900"
"Sb04g027530","Sobic.004G231600","Sobic.004G231600"
"Sb04g030160","Sobic.004G263500","Sobic.004G263500"
