SbID,SobicID,GeneID,KEGG_En
Sb02g022420,Sobic.002G175400,SORBI_3002G175400,
Sb03g025270,Sobic.003G187800,SORBI_3003G187800,
Sb03g032270,Sobic.003G270400,SORBI_3003G270400,
Sb04g005490,Sobic.003G300200,SORBI_3003G300200,
Sb04g024300,Sobic.004G196101,SORBI_3004G196101,Nitrogen_metabolism
Sb04g029900,Sobic.004G260600,SORBI_3004G260600,Fatty_Acid_Pathway
Sb04g029920,Sobic.004G260800,SORBI_3004G260800,Fatty_Acid_Pathway
Sb04g033460,Sobic.004G301300,SORBI_3004G301300,
Sb04g034470,Sobic.004G312500,SORBI_3004G312500,Nitrogen_metabolism
Sb06g019370,Sobic.006G111700,SORBI_3006G111700,
Sb07g022750,Sobic.007G153900,SORBI_3007G153900,Nitrogen_metabolism
Sb10g023290,Sobic.010G181500,SORBI_3010G181500,
