GeneID	GeneName	leaf	early_infl	emer_infl	seed_5DAP	seed_10DAP	anther	pistil	embryo	endosperm
SORBI_3001G000200	SORBI_3001G000200	24	48	55	41	11	12	44	29	11
SORBI_3001G000100	SORBI_3001G000100		2							
SORBI_3001G000300	SORBI_3001G000300								2	
SORBI_3001G000400	SORBI_3001G000400	2	15	19	12	2	35	12	19	
SORBI_3001G000700	SORBI_3001G000700		2	2	1		1	2	2	
SORBI_3001G000800	SORBI_3001G000800	164	44	96	47	36	18	44	60	37
SORBI_3001G000900	SORBI_3001G000900						16			
SORBI_3001G001000	SORBI_3001G001000		1				2			
SORBI_3001G001132	SORBI_3001G001132						1			
SORBI_3001G001200	SORBI_3001G001200		2	3	3			2	2	
SORBI_3001G001300	SORBI_3001G001300	27	7	14	5	2	3	5	5	3
SORBI_3001G001400	SORBI_3001G001400	10	82	96	46	8	28	62	64	7
SORBI_3001G001700	SORBI_3001G001700		2	1	1			2	1	
SORBI_3001G001800	SORBI_3001G001800	2	2	2	2	2	26	1	2	
SORBI_3001G001900	SORBI_3001G001900	11	14	13	6	9	14	9	13	6
SORBI_3001G002000	SORBI_3001G002000	42	66	84	49	16	63	67	46	14
SORBI_3001G002050	SORBI_3001G002050	20	23	27	22	13	12	22	27	11
SORBI_3001G002100	SORBI_3001G002100	10	14	7	4	3	3	12	5	4
SORBI_3001G002200	SORBI_3001G002200						39			
SORBI_3001G002300	SORBI_3001G002300		2	2						
SORBI_3001G002400	SORBI_3001G002400	1		10		3	696	7		
SORBI_3001G002600	SORBI_3001G002600	17	40	31	40	18	27	47	23	14
SORBI_3001G002700	SORBI_3001G002700	6	2	2	5	4	1	1		1
SORBI_3001G002800	SORBI_3001G002800	4	5	44	2	3		2		5
SORBI_3001G003000	SORBI_3001G003000	9	10	16	19	7	15	13	8	9
SORBI_3001G003100	SORBI_3001G003100	152	147	153	258	68	76	140	278	64
SORBI_3001G003200	SORBI_3001G003200	358	14	30	15	10	4	36	4	11
SORBI_3001G003300	SORBI_3001G003300	1	17	9	8	4		10	16	1
SORBI_3001G003400	SORBI_3001G003400			5			56			
SORBI_3001G003500	SORBI_3001G003500	13	36	27	38	21	20	34	41	23
SORBI_3001G003700	SORBI_3001G003700	8	10	5	5	21	14			14
SORBI_3001G003900	SORBI_3001G003900	4	6	4	4	2	3	5	4	1
SORBI_3001G004000	SORBI_3001G004000	2	3							
SORBI_3001G004100	SORBI_3001G004100	20	43	55	53	41	55	48	108	41
SORBI_3001G004200	SORBI_3001G004200	17	22	41	45	18	46	25	49	10
SORBI_3001G004300	SORBI_3001G004300	2	1	2						
SORBI_3001G004400	SORBI_3001G004400	29	91	80	61	32	34	61	65	17
SORBI_3001G004500	SORBI_3001G004500	217	4	6			2			
SORBI_3001G004600	SORBI_3001G004600		2	3		1		2	76	2
SORBI_3001G004700	SORBI_3001G004700	8	5	5	4	4	4	4	11	4
SORBI_3001G004800	SORBI_3001G004800		58	7	29	6		20	11	6
SORBI_3001G004901	SORBI_3001G004901	10			1			2	2	
SORBI_3001G005000	SORBI_3001G005000		10	5	4	1		8	2	
SORBI_3001G005200	SORBI_3001G005200	242	7	29	20	5	6	19	2	3
SORBI_3001G005300	SORBI_3001G005300	26	6	9	12	12	2	55	7	21
SORBI_3001G005400	SORBI_3001G005400						8			
SORBI_3001G005500	SORBI_3001G005500	616	51	91	26	36	14	106	12	16
SORBI_3001G005600	SORBI_3001G005600	33	96	77	78	61	97	88	68	74
SORBI_3001G005700	SORBI_3001G005700			1	1	1			2	2
SORBI_3001G005800	SORBI_3001G005800	3	32	35	39	24	10	48	53	24
SORBI_3001G005900	SORBI_3001G005900	62	100	80	91	34	50	67	41	27
SORBI_3001G006000	SORBI_3001G006000	62	21	22	13	10	3	23	8	9
SORBI_3001G006201	SORBI_3001G006201		2	2	1					
SORBI_3001G006400	SORBI_3001G006400	73	40	34	53	16	12	44	17	24
SORBI_3001G006500	SORBI_3001G006500	2	12	6	4	4	28	14	7	7
SORBI_3001G006600	SORBI_3001G006600		2							
SORBI_3001G006700	SORBI_3001G006700	31	45	74	52	45	29	44	80	52
SORBI_3001G006800	SORBI_3001G006800	2	49	21	34	6	10	62	55	4
SORBI_3001G006900	SORBI_3001G006900	2	2	3						
SORBI_3001G007000	SORBI_3001G007000	21	29	38	41	13	30	33	18	9
SORBI_3001G007100	SORBI_3001G007100	8	22	24	23	7	13	27	19	6
SORBI_3001G007200	SORBI_3001G007200	25	41	39	31	15	22	56	57	18
SORBI_3001G007300	SORBI_3001G007300	18	76	31	18	6	15	70	19	19
SORBI_3001G007400	SORBI_3001G007400	17	42	35	37	12	21	41	55	30
SORBI_3001G007500	SORBI_3001G007500	6	31	22	34	10	12	32	19	19
SORBI_3001G007600	SORBI_3001G007600	33	143	118	154	32	28	79	37	18
SORBI_3001G007700	SORBI_3001G007700	17	8	6	7	9	13	9	2	21
SORBI_3001G007800	SORBI_3001G007800	8	11	19	21	16	19	12	21	12
SORBI_3001G007900	SORBI_3001G007900	9	20	20	29	9	12	21	20	6
SORBI_3001G008000	SORBI_3001G008000	2	11	8	6	2	5	9	6	4
SORBI_3001G008100	SORBI_3001G008100	27	73	79	69	36	164	79	65	21
SORBI_3001G008200	SORBI_3001G008200	7	19	16	16	10	14	23	17	10
SORBI_3001G008300	SORBI_3001G008300		30	12	15	2	7	20	16	2
SORBI_3001G008400	SORBI_3001G008400		4					2	2	
SORBI_3001G008500	SORBI_3001G008500	13	63	42	42	31	33	54	73	17
SORBI_3001G008600	SORBI_3001G008600	1	9	95	6	25	21	1		19
SORBI_3001G008700	SORBI_3001G008700	25	21	25	36	25	28	23	22	38
SORBI_3001G008800	SORBI_3001G008800	19	96	50	82	15	76	97	39	19
SORBI_3001G008900	SORBI_3001G008900	1	9	14	11	2		5	5	
SORBI_3001G009100	SORBI_3001G009100				6			2		
SORBI_3001G009200	SORBI_3001G009200	9	12	7	21	3	2	49	9	1
SORBI_3001G009300	SORBI_3001G009300	48	107	113	107	113	94	152	51	81
SORBI_3001G009400	SORBI_3001G009400		3	3	1		3	3	1	
SORBI_3001G009500	SORBI_3001G009500	2	3	7	2	1		1	2	
SORBI_3001G009600	SORBI_3001G009600	43	9	22	55	12	68	54	77	21
SORBI_3001G009700	SORBI_3001G009700		31	4	19	2	2	26	7	
SORBI_3001G009800	SORBI_3001G009800	72	190	206	121	94	48	190	127	84
SORBI_3001G009900	SORBI_3001G009900	3	8	9	6	1	2	10	5	1
SORBI_3001G010000	SORBI_3001G010000		1	2	1		2		1	
SORBI_3001G010100	SORBI_3001G010100	317	81	89	126	31	7	171	37	20
SORBI_3001G010200	SORBI_3001G010200	1	3	20	18	4	56	10	10	3
SORBI_3001G010300	SORBI_3001G010300	10	15	17	15	13	17	16	39	12
SORBI_3001G010400	SORBI_3001G010400	24	96	106	108	35	15	95	83	41
SORBI_3001G010500	SORBI_3001G010500		3	2	2		10	4	9	1
SORBI_3001G010600	SORBI_3001G010600	35	121	101	159	50	43	133	106	46
SORBI_3001G010700	SORBI_3001G010700	47	175	172	170	90	107	167	122	76
SORBI_3001G010800	SORBI_3001G010800	27	39	31	28	12	44	48	31	21
