GeneID,Gene Name,floral meristem,flower,plant embryo,root,shoot,vegetative meristem
ENSRNA049436383,tRNA-Arg,,12,,2,4,
ENSRNA049438449,tRNA-Asp,3,,,,,
ENSRNA049439383,tRNA-Leu,1,,,,3,2
ENSRNA049439505,tRNA-Gln,5,,13,,,6
ENSRNA049439510,tRNA-Gln,4,1,10,,,
ENSRNA049439526,tRNA-Gln,3,,,2,,
ENSRNA049440146,tRNA-Asn,,,,,,1
ENSRNA049440638,tRNA-His,,,,,,1
ENSRNA049443133,tRNA-Gly,,,,,2,
ENSRNA049443757,tRNA-Asn,,,6,,,
ENSRNA049443943,tRNA-Ile,1,,,,,
ENSRNA049444765,tRNA-Arg,,,,,,1
ENSRNA049445211,tRNA-Tyr,,,3,,,
ENSRNA049445483,tRNA-Asn,1,,,,,
ENSRNA049463750,SSU_rRNA_eukarya,1,0.3,0.5,0.3,0.3,1
ENSRNA049463764,LSU_rRNA_eukarya,7,0.4,1,0.7,2,7
ENSRNA049463778,5_8S_rRNA,4,,,,,1
ENSRNA049468575,Plant_U3,4,22,57,9,5,6
ENSRNA049468784,IsrR,1,,,,1,
ENSRNA049468822,snoR83,4,,5,,,5
ENSRNA049468934,U1,,,,,0.7,0.6
ENSRNA049468937,U1,,1,1,,0.7,
ENSRNA049468963,U1,0.5,,,,,
ENSRNA049468970,SNOR75,24,10,8,28,8,38
ENSRNA049469007,snoR12,4,6,29,18,4,18
ENSRNA049469020,snoU31b,,,,1,,
ENSRNA049469036,SNORD24,6,2,14,5,3,1
ENSRNA049469047,snoU31b,1,,,,,
ENSRNA049469087,snoZ105,7,,7,17,5,8
ENSRNA049469210,snoR104,2,0.7,2,,,1
ENSRNA049470424,U1,1,0.9,1,,1,1
ENSRNA049470481,snoU61,1,,,,,
ENSRNA049470492,snoR14,1,0.8,8,3,,2
ENSRNA049470939,LSU_rRNA_eukarya,100,39,5,4,484,165
ENSRNA049471137,SSU_rRNA_eukarya,90,108,12,5,794,159
ENSRNA049471443,SNOR75,4,,,8,,6
ENSRNA049471490,U54,8,2,11,4,2,6
ENSRNA049471493,U5,,1,,,,
ENSRNA049471516,U54,3,,6,3,1,7
ENSRNA049471531,SNORD96,2,2,,,1,4
ENSRNA049471537,SNORD96,,2,,,2,2
ENSRNA049471543,snoR8a,2,3,13,,,4
ENSRNA049471601,U54,8,,8,4,2,11
ENSRNA049471625,snoZ105,4,1,,4,4,5
ENSRNA049471702,snoZ119,12,9,2,12,4,9
ENSRNA049471705,snoZ119,15,24,2,15,7,12
ENSRNA049471714,snoZ122,14,14,9,12,7,15
ENSRNA049474108,snoR103,2,,,,,
ENSRNA049474184,snoR103,2,,2,,,
ENSRNA049474930,U6,,0.8,,,,
ENSRNA049475647,SSU_rRNA_eukarya,0.3,,,,,0.3
ENSRNA049475729,Intron_gpII,1,6,,,20,2
ENSRNA049476474,snoZ266,15,5,5,8,3,9
ENSRNA049476476,snoZ266,11,8,3,8,1,9
ENSRNA049476483,snoZ266,9,2,5,6,1,10
ENSRNA049476932,LSU_rRNA_eukarya,0.8,,,,,0.2
ENSRNA049476934,U1,0.6,0.5,4,0.9,0.7,0.5
ENSRNA049476982,LSU_rRNA_eukarya,4,5,,,5,
ENSRNA049476990,snoR103,,,,,,0.8
ENSRNA049477009,MIR2118,12,,,,,7
ENSRNA049478834,U1,,,1,,,0.5
ENSRNA049478883,snoR24,14,5,5,20,8,11
ENSRNA049478892,snoR24,31,11,13,24,15,34
ENSRNA049478906,snoR26,2,,2,,,2
ENSRNA049478914,snoR99,2,2,10,3,1,2
ENSRNA049478920,snoR99,4,0.8,,3,2,0.9
ENSRNA049478934,snoR99,2,0.8,7,4,1,5
ENSRNA049479941,U5,,0.6,,,,
ENSRNA049479943,snoR74,5,0.5,,4,0.8,6
ENSRNA049479945,snoR74,3,,,2,2,4
ENSRNA049479948,snoR74,0.7,1,8,3,2,2
ENSRNA049479980,SNORD24,2,,6,3,1,
ENSRNA049479993,snoR104,10,6,6,1,2,5
ENSRNA049479997,snoR53Y,9,4,12,13,4,17
ENSRNA049480000,snoR12,5,8,,13,6,15
ENSRNA049480017,Plant_SRP,3,10,5,4,2,4
ENSRNA049480024,U2,,2,,0.6,,
ENSRNA049480030,U1,0.6,1,4,1,,0.5
ENSRNA049480032,U2,,1,1,0.4,,
