GeneID	GeneName	seed	spikelet	stem
SORBI_3001G000200	SORBI_3001G000200	22	36	59
SORBI_3001G000400	SORBI_3001G000400	3	13	6
SORBI_3001G000700	SORBI_3001G000700	1	3	5
SORBI_3001G000800	SORBI_3001G000800	50	69	91
SORBI_3001G000900	SORBI_3001G000900		6	
SORBI_3001G001000	SORBI_3001G001000		2	1
SORBI_3001G001132	SORBI_3001G001132		0.7	2
SORBI_3001G001200	SORBI_3001G001200	1	1	3
SORBI_3001G001300	SORBI_3001G001300	5	12	12
SORBI_3001G001400	SORBI_3001G001400	14	38	56
SORBI_3001G001700	SORBI_3001G001700		0.6	0.8
SORBI_3001G001800	SORBI_3001G001800	1	41	2
SORBI_3001G001900	SORBI_3001G001900	12	12	19
SORBI_3001G002000	SORBI_3001G002000	25	53	67
SORBI_3001G002050	SORBI_3001G002050	5	10	18
SORBI_3001G002100	SORBI_3001G002100	0.6	2	2
SORBI_3001G002200	SORBI_3001G002200		15	
SORBI_3001G002300	SORBI_3001G002300			2
SORBI_3001G002400	SORBI_3001G002400		52	2
SORBI_3001G002600	SORBI_3001G002600	20	29	32
SORBI_3001G002700	SORBI_3001G002700	4	3	6
SORBI_3001G002800	SORBI_3001G002800	3	24	16
SORBI_3001G003000	SORBI_3001G003000	9	14	14
SORBI_3001G003100	SORBI_3001G003100	96	73	162
SORBI_3001G003200	SORBI_3001G003200	10	34	51
SORBI_3001G003300	SORBI_3001G003300	4	5	11
SORBI_3001G003400	SORBI_3001G003400		12	
SORBI_3001G003500	SORBI_3001G003500	23	22	32
SORBI_3001G003700	SORBI_3001G003700	3	2	4
SORBI_3001G003900	SORBI_3001G003900	1	3	5
SORBI_3001G004000	SORBI_3001G004000		0.6	4
SORBI_3001G004100	SORBI_3001G004100	54	44	64
SORBI_3001G004200	SORBI_3001G004200	27	38	53
SORBI_3001G004300	SORBI_3001G004300		1	4
SORBI_3001G004400	SORBI_3001G004400	36	48	89
SORBI_3001G004500	SORBI_3001G004500		6	3
SORBI_3001G004600	SORBI_3001G004600	3		0.7
SORBI_3001G004700	SORBI_3001G004700	6	6	9
SORBI_3001G004800	SORBI_3001G004800	3	6	20
SORBI_3001G005000	SORBI_3001G005000	1	2	4
SORBI_3001G005200	SORBI_3001G005200	9	43	29
SORBI_3001G005300	SORBI_3001G005300	6	26	9
SORBI_3001G005400	SORBI_3001G005400		4	
SORBI_3001G005500	SORBI_3001G005500	14	73	38
SORBI_3001G005600	SORBI_3001G005600	58	69	64
SORBI_3001G005700	SORBI_3001G005700	3	3	7
SORBI_3001G005800	SORBI_3001G005800	32	23	28
SORBI_3001G005900	SORBI_3001G005900	65	117	159
SORBI_3001G006000	SORBI_3001G006000	8	16	12
SORBI_3001G006101	SORBI_3001G006101		1	
SORBI_3001G006201	SORBI_3001G006201		5	2
SORBI_3001G006400	SORBI_3001G006400	15	36	36
SORBI_3001G006500	SORBI_3001G006500	3	7	2
SORBI_3001G006600	SORBI_3001G006600		0.6	1
SORBI_3001G006700	SORBI_3001G006700	67	48	83
SORBI_3001G006800	SORBI_3001G006800	6	16	21
SORBI_3001G006900	SORBI_3001G006900		2	1
SORBI_3001G007000	SORBI_3001G007000	16	35	46
SORBI_3001G007100	SORBI_3001G007100	13	18	23
SORBI_3001G007200	SORBI_3001G007200	17	26	35
SORBI_3001G007300	SORBI_3001G007300	5	9	7
SORBI_3001G007400	SORBI_3001G007400	25	32	42
SORBI_3001G007500	SORBI_3001G007500	13	13	18
